,buying,maint,doors,persons,lug_boot,safety,rating
84,low,med,2,4,big,med,unacc
84,low,high,4,more,big,high,unacc
84,vhigh,vhigh,5more,2,med,low,unacc
85,low,low,2,4,small,high,good
85,low,med,4,more,med,high,good
85,low,vhigh,3,more,small,high,good
85,low,low,2,4,small,high,vgood
85,low,med,4,more,med,high,vgood
85,low,vhigh,3,more,small,high,vgood
85,low,low,2,4,small,high,acc
85,low,med,4,more,med,high,acc
85,low,vhigh,3,more,small,high,acc
86,low,high,2,4,med,med,acc
86,med,med,4,more,med,high,acc
86,med,low,4,4,med,med,acc
86,vhigh,vhigh,5more,2,med,high,acc
86,low,high,2,4,med,med,vgood
86,med,med,4,more,med,high,vgood
86,med,low,4,4,med,med,vgood
86,vhigh,vhigh,5more,2,med,high,vgood
86,low,high,2,4,med,med,good
86,med,med,4,more,med,high,good
86,med,low,4,4,med,med,good
86,vhigh,vhigh,5more,2,med,high,good
86,low,high,2,4,med,med,unacc
86,med,med,4,more,med,high,unacc
86,med,low,4,4,med,med,unacc
86,vhigh,vhigh,5more,2,med,high,unacc
87,vhigh,vhigh,5more,2,big,low,unacc
87,med,med,3,more,big,high,unacc
87,low,vhigh,2,more,big,med,unacc
87,vhigh,vhigh,5more,2,big,low,vgood
87,med,med,3,more,big,high,vgood
87,low,vhigh,2,more,big,med,vgood
87,vhigh,vhigh,5more,2,big,low,acc
87,med,med,3,more,big,high,acc
87,low,vhigh,2,more,big,med,acc
88,low,med,3,more,small,high,good
88,med,med,2,more,big,high,good
88,vhigh,vhigh,5more,2,big,med,good
88,vhigh,med,3,more,big,high,good
88,low,med,3,more,small,high,vgood
88,med,med,2,more,big,high,vgood
88,vhigh,vhigh,5more,2,big,med,vgood
88,vhigh,med,3,more,big,high,vgood
88,low,med,3,more,small,high,unacc
88,med,med,2,more,big,high,unacc
88,vhigh,vhigh,5more,2,big,med,unacc
88,vhigh,med,3,more,big,high,unacc
88,low,med,3,more,small,high,acc
88,med,med,2,more,big,high,acc
88,vhigh,vhigh,5more,2,big,med,acc
88,vhigh,med,3,more,big,high,acc
89,med,med,4,4,big,high,vgood
89,vhigh,vhigh,5more,2,big,high,vgood
89,low,vhigh,2,more,big,high,vgood
89,low,med,5more,more,small,high,vgood
89,med,med,4,4,big,high,unacc
89,vhigh,vhigh,5more,2,big,high,unacc
89,low,vhigh,2,more,big,high,unacc
89,low,med,5more,more,small,high,unacc
89,med,med,4,4,big,high,acc
89,vhigh,vhigh,5more,2,big,high,acc
89,low,vhigh,2,more,big,high,acc
89,low,med,5more,more,small,high,acc
89,med,med,4,4,big,high,good
89,vhigh,vhigh,5more,2,big,high,good
89,low,vhigh,2,more,big,high,good
89,low,med,5more,more,small,high,good
90,vhigh,vhigh,5more,4,small,low,unacc
90,med,low,4,more,big,high,unacc
90,med,low,3,more,big,med,unacc
90,vhigh,vhigh,5more,4,small,low,vgood
90,med,low,4,more,big,high,vgood
90,med,low,3,more,big,med,vgood
90,vhigh,vhigh,5more,4,small,low,good
90,med,low,4,more,big,high,good
90,med,low,3,more,big,med,good
91,vhigh,vhigh,5more,4,small,med,unacc
92,med,vhigh,4,4,med,high,acc
92,vhigh,vhigh,5more,4,small,high,acc
92,med,med,4,4,big,high,acc
92,low,med,3,4,big,med,acc
92,med,vhigh,4,4,med,high,unacc
92,vhigh,vhigh,5more,4,small,high,unacc
92,med,med,4,4,big,high,unacc
92,low,med,3,4,big,med,unacc
92,med,vhigh,4,4,med,high,vgood
92,vhigh,vhigh,5more,4,small,high,vgood
92,med,med,4,4,big,high,vgood
92,low,med,3,4,big,med,vgood
92,med,vhigh,4,4,med,high,good
92,vhigh,vhigh,5more,4,small,high,good
92,med,med,4,4,big,high,good
92,low,med,3,4,big,med,good
93,low,low,5more,4,big,med,good
93,vhigh,vhigh,5more,4,med,low,good
93,low,med,5more,more,big,high,good
93,low,low,5more,4,big,med,unacc
93,vhigh,vhigh,5more,4,med,low,unacc
93,low,med,5more,more,big,high,unacc
93,low,low,5more,4,big,med,vgood
93,vhigh,vhigh,5more,4,med,low,vgood
93,low,med,5more,more,big,high,vgood
94,vhigh,vhigh,5more,4,med,med,unacc
94,vhigh,low,3,more,big,high,unacc
94,vhigh,vhigh,5more,4,med,med,acc
94,vhigh,low,3,more,big,high,acc
95,med,med,4,more,med,high,vgood
95,med,low,3,4,big,med,vgood
95,vhigh,vhigh,5more,4,med,high,vgood
95,low,vhigh,4,4,small,high,vgood
95,med,med,4,more,med,high,good
95,med,low,3,4,big,med,good
95,vhigh,vhigh,5more,4,med,high,good
95,low,vhigh,4,4,small,high,good
95,med,med,4,more,med,high,unacc
95,med,low,3,4,big,med,unacc
95,vhigh,vhigh,5more,4,med,high,unacc
95,low,vhigh,4,4,small,high,unacc
95,med,med,4,more,med,high,acc
95,med,low,3,4,big,med,acc
95,vhigh,vhigh,5more,4,med,high,acc
95,low,vhigh,4,4,small,high,acc
96,vhigh,vhigh,5more,4,big,low,unacc
96,med,low,3,4,small,high,unacc
96,med,low,5more,4,small,med,unacc
96,vhigh,vhigh,5more,4,big,low,good
96,med,low,3,4,small,high,good
96,med,low,5more,4,small,med,good
96,vhigh,vhigh,5more,4,big,low,acc
96,med,low,3,4,small,high,acc
96,med,low,5more,4,small,med,acc
97,vhigh,vhigh,5more,4,big,med,unacc
98,vhigh,med,2,4,small,high,acc
98,med,med,5more,more,med,high,acc
98,vhigh,med,2,4,small,high,vgood
98,med,med,5more,more,med,high,vgood
99,low,high,5more,4,med,high,vgood
99,low,low,5more,4,small,high,vgood
99,high,med,2,4,med,high,vgood
99,vhigh,vhigh,5more,more,small,low,vgood
99,low,high,5more,4,med,high,good
99,low,low,5more,4,small,high,good
99,high,med,2,4,med,high,good
99,vhigh,vhigh,5more,more,small,low,good
99,low,high,5more,4,med,high,acc
99,low,low,5more,4,small,high,acc
99,high,med,2,4,med,high,acc
99,vhigh,vhigh,5more,more,small,low,acc
99,low,high,5more,4,med,high,unacc
99,low,low,5more,4,small,high,unacc
99,high,med,2,4,med,high,unacc
99,vhigh,vhigh,5more,more,small,low,unacc
100,med,low,5more,more,small,high,good
100,vhigh,vhigh,5more,more,small,med,good
100,low,high,3,more,med,high,good
100,med,low,5more,more,small,high,unacc
100,vhigh,vhigh,5more,more,small,med,unacc
100,low,high,3,more,med,high,unacc
100,med,low,5more,more,small,high,vgood
100,vhigh,vhigh,5more,more,small,med,vgood
100,low,high,3,more,med,high,vgood
101,low,med,2,more,big,med,good
101,high,high,5more,more,big,high,good
101,vhigh,vhigh,5more,more,small,high,good
101,low,med,2,more,big,med,acc
101,high,high,5more,more,big,high,acc
101,vhigh,vhigh,5more,more,small,high,acc
101,low,med,2,more,big,med,unacc
101,high,high,5more,more,big,high,unacc
101,vhigh,vhigh,5more,more,small,high,unacc
102,low,vhigh,2,more,big,med,acc
102,vhigh,vhigh,5more,more,med,low,acc
102,low,low,5more,4,big,high,acc
102,low,vhigh,2,more,big,med,unacc
102,vhigh,vhigh,5more,more,med,low,unacc
102,low,low,5more,4,big,high,unacc
102,low,vhigh,2,more,big,med,vgood
102,vhigh,vhigh,5more,more,med,low,vgood
102,low,low,5more,4,big,high,vgood
103,vhigh,vhigh,5more,more,med,med,unacc
103,med,low,3,4,small,med,unacc
103,low,low,4,more,big,med,unacc
103,low,med,4,more,big,high,unacc
103,vhigh,vhigh,5more,more,med,med,acc
103,med,low,3,4,small,med,acc
103,low,low,4,more,big,med,acc
103,low,med,4,more,big,high,acc
103,vhigh,vhigh,5more,more,med,med,good
103,med,low,3,4,small,med,good
103,low,low,4,more,big,med,good
103,low,med,4,more,big,high,good
103,vhigh,vhigh,5more,more,med,med,vgood
103,med,low,3,4,small,med,vgood
103,low,low,4,more,big,med,vgood
103,low,med,4,more,big,high,vgood
104,med,med,5more,4,med,high,vgood
104,vhigh,vhigh,5more,more,med,high,vgood
104,vhigh,med,5more,4,big,med,vgood
104,med,med,5more,4,med,high,unacc
104,vhigh,vhigh,5more,more,med,high,unacc
104,vhigh,med,5more,4,big,med,unacc
104,med,med,5more,4,med,high,acc
104,vhigh,vhigh,5more,more,med,high,acc
104,vhigh,med,5more,4,big,med,acc
105,high,low,5more,more,med,med,acc
105,vhigh,vhigh,5more,more,big,low,acc
105,low,med,3,more,med,high,acc
105,med,low,4,more,med,med,acc
105,high,low,5more,more,med,med,unacc
105,vhigh,vhigh,5more,more,big,low,unacc
105,low,med,3,more,med,high,unacc
105,med,low,4,more,med,med,unacc
105,high,low,5more,more,med,med,vgood
105,vhigh,vhigh,5more,more,big,low,vgood
105,low,med,3,more,med,high,vgood
105,med,low,4,more,med,med,vgood
105,high,low,5more,more,med,med,good
105,vhigh,vhigh,5more,more,big,low,good
105,low,med,3,more,med,high,good
105,med,low,4,more,med,med,good
106,med,low,4,4,big,med,good
106,low,low,5more,more,big,high,good
106,vhigh,low,3,more,med,med,good
106,med,low,4,4,big,med,vgood
106,low,low,5more,more,big,high,vgood
106,vhigh,low,3,more,med,med,vgood
106,med,low,4,4,big,med,acc
106,low,low,5more,more,big,high,acc
106,vhigh,low,3,more,med,med,acc
107,med,med,2,4,big,high,vgood
107,vhigh,low,4,more,big,high,vgood
107,low,med,3,more,small,high,vgood
107,med,med,2,4,big,high,acc
107,vhigh,low,4,more,big,high,acc
107,low,med,3,more,small,high,acc
107,med,med,2,4,big,high,good
107,vhigh,low,4,more,big,high,good
107,low,med,3,more,small,high,good
108,med,low,4,more,big,med,good
108,vhigh,high,2,2,small,low,good
108,med,low,5more,more,big,high,good
108,med,vhigh,3,more,big,high,good
108,med,low,4,more,big,med,unacc
108,vhigh,high,2,2,small,low,unacc
108,med,low,5more,more,big,high,unacc
108,med,vhigh,3,more,big,high,unacc
108,med,low,4,more,big,med,vgood
108,vhigh,high,2,2,small,low,vgood
108,med,low,5more,more,big,high,vgood
108,med,vhigh,3,more,big,high,vgood
108,med,low,4,more,big,med,acc
108,vhigh,high,2,2,small,low,acc
108,med,low,5more,more,big,high,acc
108,med,vhigh,3,more,big,high,acc
109,low,high,5more,4,small,med,acc
109,low,low,4,more,med,med,acc
109,vhigh,high,2,2,small,med,acc
109,med,med,4,more,med,high,acc
109,low,high,5more,4,small,med,good
109,low,low,4,more,med,med,good
109,vhigh,high,2,2,small,med,good
109,med,med,4,more,med,high,good
109,low,high,5more,4,small,med,unacc
109,low,low,4,more,med,med,unacc
109,vhigh,high,2,2,small,med,unacc
109,med,med,4,more,med,high,unacc
109,low,high,5more,4,small,med,vgood
109,low,low,4,more,med,med,vgood
109,vhigh,high,2,2,small,med,vgood
109,med,med,4,more,med,high,vgood
110,low,med,3,4,big,med,good
110,vhigh,high,2,2,small,high,good
110,high,low,4,4,med,med,good
110,low,med,3,4,big,med,unacc
110,vhigh,high,2,2,small,high,unacc
110,high,low,4,4,med,med,unacc
110,low,med,3,4,big,med,acc
110,vhigh,high,2,2,small,high,acc
110,high,low,4,4,med,med,acc
111,vhigh,high,2,2,med,low,unacc
111,med,vhigh,4,more,med,med,unacc
111,med,low,4,4,small,high,unacc
111,med,low,3,more,big,high,unacc
111,vhigh,high,2,2,med,low,acc
111,med,vhigh,4,more,med,med,acc
111,med,low,4,4,small,high,acc
111,med,low,3,more,big,high,acc
111,vhigh,high,2,2,med,low,good
111,med,vhigh,4,more,med,med,good
111,med,low,4,4,small,high,good
111,med,low,3,more,big,high,good
111,vhigh,high,2,2,med,low,vgood
111,med,vhigh,4,more,med,med,vgood
111,med,low,4,4,small,high,vgood
111,med,low,3,more,big,high,vgood
112,low,vhigh,4,4,big,high,acc
112,med,med,4,4,big,high,acc
112,med,low,5more,more,med,med,acc
112,vhigh,high,2,2,med,med,acc
112,low,vhigh,4,4,big,high,vgood
112,med,med,4,4,big,high,vgood
112,med,low,5more,more,med,med,vgood
112,vhigh,high,2,2,med,med,vgood
112,low,vhigh,4,4,big,high,good
112,med,med,4,4,big,high,good
112,med,low,5more,more,med,med,good
112,vhigh,high,2,2,med,med,good
112,low,vhigh,4,4,big,high,unacc
112,med,med,4,4,big,high,unacc
112,med,low,5more,more,med,med,unacc
112,vhigh,high,2,2,med,med,unacc
113,vhigh,high,2,2,med,high,unacc
113,high,high,3,more,big,med,unacc
113,low,med,5more,4,med,med,unacc
113,med,low,5more,more,med,high,unacc
113,vhigh,high,2,2,med,high,acc
113,high,high,3,more,big,med,acc
113,low,med,5more,4,med,med,acc
113,med,low,5more,more,med,high,acc
113,vhigh,high,2,2,med,high,good
113,high,high,3,more,big,med,good
113,low,med,5more,4,med,med,good
113,med,low,5more,more,med,high,good
113,vhigh,high,2,2,med,high,vgood
113,high,high,3,more,big,med,vgood
113,low,med,5more,4,med,med,vgood
113,med,low,5more,more,med,high,vgood
114,vhigh,high,2,2,big,low,unacc
114,low,low,5more,more,big,high,unacc
114,vhigh,high,2,2,big,low,vgood
114,low,low,5more,more,big,high,vgood
115,vhigh,med,3,more,small,high,acc
115,vhigh,high,2,2,big,med,acc
115,low,med,2,4,small,high,acc
115,vhigh,med,3,more,small,high,unacc
115,vhigh,high,2,2,big,med,unacc
115,low,med,2,4,small,high,unacc
115,vhigh,med,3,more,small,high,good
115,vhigh,high,2,2,big,med,good
115,low,med,2,4,small,high,good
116,low,low,3,4,big,med,good
116,vhigh,high,2,2,big,high,good
116,low,low,3,4,big,high,good
116,low,low,3,4,big,med,unacc
116,vhigh,high,2,2,big,high,unacc
116,low,low,3,4,big,high,unacc
116,low,low,3,4,big,med,vgood
116,vhigh,high,2,2,big,high,vgood
116,low,low,3,4,big,high,vgood
117,low,med,4,4,big,med,good
117,low,high,2,more,big,high,good
117,low,med,4,4,big,med,vgood
117,low,high,2,more,big,high,vgood
118,high,high,4,4,small,high,acc
118,med,low,4,4,big,med,acc
118,med,low,4,4,med,high,acc
118,high,high,4,4,small,high,good
118,med,low,4,4,big,med,good
118,med,low,4,4,med,high,good
118,high,high,4,4,small,high,vgood
118,med,low,4,4,big,med,vgood
118,med,low,4,4,med,high,vgood
119,low,med,3,4,big,high,vgood
119,vhigh,high,2,4,small,high,vgood
119,low,low,3,more,small,high,vgood
119,med,med,5more,more,small,high,vgood
119,low,med,3,4,big,high,unacc
119,vhigh,high,2,4,small,high,unacc
119,low,low,3,more,small,high,unacc
119,med,med,5more,more,small,high,unacc
119,low,med,3,4,big,high,good
119,vhigh,high,2,4,small,high,good
119,low,low,3,more,small,high,good
119,med,med,5more,more,small,high,good
119,low,med,3,4,big,high,acc
119,vhigh,high,2,4,small,high,acc
119,low,low,3,more,small,high,acc
119,med,med,5more,more,small,high,acc
120,low,vhigh,3,more,big,high,acc
120,vhigh,high,2,4,med,low,acc
120,med,med,3,more,med,high,acc
120,low,vhigh,3,more,big,high,unacc
120,vhigh,high,2,4,med,low,unacc
120,med,med,3,more,med,high,unacc
120,low,vhigh,3,more,big,high,vgood
120,vhigh,high,2,4,med,low,vgood
120,med,med,3,more,med,high,vgood
121,vhigh,high,2,4,med,med,unacc
121,med,vhigh,3,4,big,med,unacc
121,vhigh,high,2,4,med,med,acc
121,med,vhigh,3,4,big,med,acc
122,med,low,5more,4,big,med,good
122,vhigh,high,2,4,med,high,good
122,low,med,3,more,big,high,good
122,med,low,5more,4,big,med,unacc
122,vhigh,high,2,4,med,high,unacc
122,low,med,3,more,big,high,unacc
122,med,low,5more,4,big,med,vgood
122,vhigh,high,2,4,med,high,vgood
122,low,med,3,more,big,high,vgood
123,low,low,4,4,big,med,good
123,vhigh,high,2,4,big,low,good
123,high,high,5more,4,small,high,good
123,med,low,5more,4,med,high,good
123,low,low,4,4,big,med,unacc
123,vhigh,high,2,4,big,low,unacc
123,high,high,5more,4,small,high,unacc
123,med,low,5more,4,med,high,unacc
123,low,low,4,4,big,med,acc
123,vhigh,high,2,4,big,low,acc
123,high,high,5more,4,small,high,acc
123,med,low,5more,4,med,high,acc
123,low,low,4,4,big,med,vgood
123,vhigh,high,2,4,big,low,vgood
123,high,high,5more,4,small,high,vgood
123,med,low,5more,4,med,high,vgood
124,low,med,5more,4,med,med,good
125,low,high,4,4,med,med,acc
125,vhigh,high,2,4,big,high,acc
125,low,high,4,4,med,med,unacc
125,vhigh,high,2,4,big,high,unacc
126,vhigh,high,2,more,small,low,unacc
126,low,low,3,4,big,med,unacc
126,vhigh,high,2,more,small,low,good
126,low,low,3,4,big,med,good
127,low,med,4,more,small,high,good
127,vhigh,high,2,more,small,med,good
127,high,med,4,more,med,high,good
127,low,low,2,more,big,high,good
127,low,med,4,more,small,high,unacc
127,vhigh,high,2,more,small,med,unacc
127,high,med,4,more,med,high,unacc
127,low,low,2,more,big,high,unacc
127,low,med,4,more,small,high,acc
127,vhigh,high,2,more,small,med,acc
127,high,med,4,more,med,high,acc
127,low,low,2,more,big,high,acc
127,low,med,4,more,small,high,vgood
127,vhigh,high,2,more,small,med,vgood
127,high,med,4,more,med,high,vgood
127,low,low,2,more,big,high,vgood
128,low,low,3,more,big,high,vgood
128,vhigh,high,2,more,small,high,vgood
128,low,low,4,4,med,med,vgood
128,low,low,3,more,big,high,unacc
128,vhigh,high,2,more,small,high,unacc
128,low,low,4,4,med,med,unacc
128,low,low,3,more,big,high,good
128,vhigh,high,2,more,small,high,good
128,low,low,4,4,med,med,good
129,low,high,4,more,med,high,vgood
129,vhigh,high,2,more,med,low,vgood
129,med,low,3,4,small,high,vgood
129,low,high,4,more,med,high,unacc
129,vhigh,high,2,more,med,low,unacc
129,med,low,3,4,small,high,unacc
129,low,high,4,more,med,high,good
129,vhigh,high,2,more,med,low,good
129,med,low,3,4,small,high,good
130,low,low,3,4,big,high,vgood
130,vhigh,high,2,more,med,med,vgood
130,low,low,3,4,big,high,unacc
130,vhigh,high,2,more,med,med,unacc
131,med,med,3,4,med,high,acc
131,vhigh,high,2,more,med,high,acc
131,med,med,4,4,med,high,acc
131,med,med,3,4,med,high,unacc
131,vhigh,high,2,more,med,high,unacc
131,med,med,4,4,med,high,unacc
131,med,med,3,4,med,high,vgood
131,vhigh,high,2,more,med,high,vgood
131,med,med,4,4,med,high,vgood
132,med,low,3,more,big,med,good
132,med,low,4,more,big,high,good
132,med,vhigh,5more,more,med,med,good
132,med,low,3,more,big,med,vgood
132,med,low,4,more,big,high,vgood
132,med,vhigh,5more,more,med,med,vgood
132,med,low,3,more,big,med,acc
132,med,low,4,more,big,high,acc
132,med,vhigh,5more,more,med,med,acc
133,low,high,5more,4,small,med,acc
133,low,med,3,more,med,high,acc
133,low,low,5more,4,big,med,acc
133,low,high,5more,4,small,med,vgood
133,low,med,3,more,med,high,vgood
133,low,low,5more,4,big,med,vgood
133,low,high,5more,4,small,med,good
133,low,med,3,more,med,high,good
133,low,low,5more,4,big,med,good
134,low,low,2,more,med,high,good
134,med,med,4,4,med,high,good
134,vhigh,high,2,more,big,high,good
134,low,low,2,more,med,high,vgood
134,med,med,4,4,med,high,vgood
134,vhigh,high,2,more,big,high,vgood
134,low,low,2,more,med,high,unacc
134,med,med,4,4,med,high,unacc
134,vhigh,high,2,more,big,high,unacc
135,low,low,2,more,med,high,good
135,med,low,3,more,med,high,good
135,vhigh,med,5more,more,med,high,good
135,low,low,2,more,med,high,vgood
135,med,low,3,more,med,high,vgood
135,vhigh,med,5more,more,med,high,vgood
135,low,low,2,more,med,high,acc
135,med,low,3,more,med,high,acc
135,vhigh,med,5more,more,med,high,acc
136,low,med,5more,4,big,high,vgood
136,low,low,3,4,small,high,vgood
136,high,med,3,4,big,med,vgood
136,vhigh,high,3,2,small,med,vgood
136,low,med,5more,4,big,high,good
136,low,low,3,4,small,high,good
136,high,med,3,4,big,med,good
136,vhigh,high,3,2,small,med,good
136,low,med,5more,4,big,high,acc
136,low,low,3,4,small,high,acc
136,high,med,3,4,big,med,acc
136,vhigh,high,3,2,small,med,acc
136,low,med,5more,4,big,high,unacc
136,low,low,3,4,small,high,unacc
136,high,med,3,4,big,med,unacc
136,vhigh,high,3,2,small,med,unacc
137,high,low,4,more,small,high,acc
137,vhigh,high,3,2,small,high,acc
137,med,low,5more,4,med,med,acc
137,high,low,4,more,small,high,unacc
137,vhigh,high,3,2,small,high,unacc
137,med,low,5more,4,med,med,unacc
137,high,low,4,more,small,high,good
137,vhigh,high,3,2,small,high,good
137,med,low,5more,4,med,med,good
138,low,high,5more,4,med,high,vgood
138,vhigh,high,3,2,med,low,vgood
138,low,high,2,4,med,med,vgood
138,low,high,5more,4,med,high,unacc
138,vhigh,high,3,2,med,low,unacc
138,low,high,2,4,med,med,unacc
138,low,high,5more,4,med,high,acc
138,vhigh,high,3,2,med,low,acc
138,low,high,2,4,med,med,acc
139,vhigh,high,3,2,med,med,unacc
139,med,low,4,4,small,high,unacc
139,low,high,3,more,med,high,unacc
139,vhigh,high,3,2,med,med,good
139,med,low,4,4,small,high,good
139,low,high,3,more,med,high,good
139,vhigh,high,3,2,med,med,vgood
139,med,low,4,4,small,high,vgood
139,low,high,3,more,med,high,vgood
140,low,high,4,4,med,high,vgood
140,vhigh,high,3,2,med,high,vgood
140,low,low,2,4,big,med,vgood
140,med,vhigh,4,more,big,med,vgood
140,low,high,4,4,med,high,unacc
140,vhigh,high,3,2,med,high,unacc
140,low,low,2,4,big,med,unacc
140,med,vhigh,4,more,big,med,unacc
140,low,high,4,4,med,high,good
140,vhigh,high,3,2,med,high,good
140,low,low,2,4,big,med,good
140,med,vhigh,4,more,big,med,good
140,low,high,4,4,med,high,acc
140,vhigh,high,3,2,med,high,acc
140,low,low,2,4,big,med,acc
140,med,vhigh,4,more,big,med,acc
141,low,high,4,4,big,high,vgood
141,high,high,2,4,med,high,vgood
141,low,low,4,more,big,med,vgood
141,low,high,4,4,big,high,acc
141,high,high,2,4,med,high,acc
141,low,low,4,more,big,med,acc
141,low,high,4,4,big,high,good
141,high,high,2,4,med,high,good
141,low,low,4,more,big,med,good
142,vhigh,high,3,2,big,med,unacc
142,high,low,3,more,med,med,unacc
142,low,high,4,4,med,high,unacc
142,vhigh,high,3,2,big,med,acc
142,high,low,3,more,med,med,acc
142,low,high,4,4,med,high,acc
142,vhigh,high,3,2,big,med,vgood
142,high,low,3,more,med,med,vgood
142,low,high,4,4,med,high,vgood
143,low,low,2,4,big,med,good
143,vhigh,high,3,2,big,high,good
143,high,med,4,4,med,med,good
143,low,med,4,more,med,high,good
143,low,low,2,4,big,med,unacc
143,vhigh,high,3,2,big,high,unacc
143,high,med,4,4,med,med,unacc
143,low,med,4,more,med,high,unacc
143,low,low,2,4,big,med,acc
143,vhigh,high,3,2,big,high,acc
143,high,med,4,4,med,med,acc
143,low,med,4,more,med,high,acc
143,low,low,2,4,big,med,vgood
143,vhigh,high,3,2,big,high,vgood
143,high,med,4,4,med,med,vgood
143,low,med,4,more,med,high,vgood
144,med,high,2,more,big,high,acc
144,low,high,4,4,big,high,acc
144,med,high,2,more,big,high,vgood
144,low,high,4,4,big,high,vgood
145,low,high,2,more,med,med,acc
145,low,high,5more,4,med,high,acc
145,low,high,2,more,med,med,vgood
145,low,high,5more,4,med,high,vgood
146,med,low,5more,more,med,high,vgood
146,med,vhigh,4,4,small,high,vgood
146,vhigh,high,3,4,small,high,vgood
146,low,med,5more,4,big,med,vgood
146,med,low,5more,more,med,high,acc
146,med,vhigh,4,4,small,high,acc
146,vhigh,high,3,4,small,high,acc
146,low,med,5more,4,big,med,acc
146,med,low,5more,more,med,high,unacc
146,med,vhigh,4,4,small,high,unacc
146,vhigh,high,3,4,small,high,unacc
146,low,med,5more,4,big,med,unacc
146,med,low,5more,more,med,high,good
146,med,vhigh,4,4,small,high,good
146,vhigh,high,3,4,small,high,good
146,low,med,5more,4,big,med,good
147,low,high,3,more,big,high,vgood
147,vhigh,high,3,4,med,low,vgood
147,low,high,3,more,big,high,unacc
147,vhigh,high,3,4,med,low,unacc
148,high,high,3,4,big,med,acc
148,low,high,3,more,big,high,acc
148,high,high,3,4,big,med,vgood
148,low,high,3,more,big,high,vgood
149,med,med,4,more,med,high,vgood
150,high,med,5more,more,small,high,acc
150,vhigh,high,3,4,big,low,acc
150,low,med,2,more,med,high,acc
150,med,med,5more,more,med,high,acc
150,high,med,5more,more,small,high,unacc
150,vhigh,high,3,4,big,low,unacc
150,low,med,2,more,med,high,unacc
150,med,med,5more,more,med,high,unacc
150,high,med,5more,more,small,high,good
150,vhigh,high,3,4,big,low,good
150,low,med,2,more,med,high,good
150,med,med,5more,more,med,high,good
150,high,med,5more,more,small,high,vgood
150,vhigh,high,3,4,big,low,vgood
150,low,med,2,more,med,high,vgood
150,med,med,5more,more,med,high,vgood
151,vhigh,med,2,more,med,high,acc
151,low,med,3,more,big,high,acc
151,low,low,2,more,med,high,acc
151,vhigh,high,3,4,big,med,acc
151,vhigh,med,2,more,med,high,vgood
151,low,med,3,more,big,high,vgood
151,low,low,2,more,med,high,vgood
151,vhigh,high,3,4,big,med,vgood
151,vhigh,med,2,more,med,high,good
151,low,med,3,more,big,high,good
151,low,low,2,more,med,high,good
151,vhigh,high,3,4,big,med,good
151,vhigh,med,2,more,med,high,unacc
151,low,med,3,more,big,high,unacc
151,low,low,2,more,med,high,unacc
151,vhigh,high,3,4,big,med,unacc
152,vhigh,high,3,4,big,high,unacc
152,low,low,5more,more,med,med,unacc
152,low,high,3,more,big,high,unacc
152,vhigh,high,3,4,big,high,good
152,low,low,5more,more,med,med,good
152,low,high,3,more,big,high,good
152,vhigh,high,3,4,big,high,vgood
152,low,low,5more,more,med,med,vgood
152,low,high,3,more,big,high,vgood
153,med,med,5more,more,small,high,acc
153,med,low,5more,4,big,med,acc
153,vhigh,high,3,more,small,low,acc
153,med,med,5more,more,small,high,good
153,med,low,5more,4,big,med,good
153,vhigh,high,3,more,small,low,good
153,med,med,5more,more,small,high,unacc
153,med,low,5more,4,big,med,unacc
153,vhigh,high,3,more,small,low,unacc
154,low,low,4,4,big,med,good
154,vhigh,high,3,more,small,med,good
154,low,vhigh,5more,more,small,high,good
154,low,low,4,4,big,med,unacc
154,vhigh,high,3,more,small,med,unacc
154,low,vhigh,5more,more,small,high,unacc
154,low,low,4,4,big,med,acc
154,vhigh,high,3,more,small,med,acc
154,low,vhigh,5more,more,small,high,acc
155,vhigh,high,3,more,small,high,unacc
155,med,low,2,more,big,med,unacc
155,low,low,4,more,med,high,unacc
155,med,vhigh,2,4,big,high,unacc
155,vhigh,high,3,more,small,high,good
155,med,low,2,more,big,med,good
155,low,low,4,more,med,high,good
155,med,vhigh,2,4,big,high,good
155,vhigh,high,3,more,small,high,vgood
155,med,low,2,more,big,med,vgood
155,low,low,4,more,med,high,vgood
155,med,vhigh,2,4,big,high,vgood
155,vhigh,high,3,more,small,high,acc
155,med,low,2,more,big,med,acc
155,low,low,4,more,med,high,acc
155,med,vhigh,2,4,big,high,acc
156,low,low,3,more,med,high,vgood
156,low,med,5more,4,big,med,vgood
156,low,low,3,more,med,high,good
156,low,med,5more,4,big,med,good
157,med,vhigh,2,4,small,high,acc
157,low,med,2,4,med,high,acc
157,low,med,4,more,big,high,acc
157,med,vhigh,2,4,small,high,good
157,low,med,2,4,med,high,good
157,low,med,4,more,big,high,good
157,med,vhigh,2,4,small,high,vgood
157,low,med,2,4,med,high,vgood
157,low,med,4,more,big,high,vgood
158,med,low,5more,4,small,high,good
158,vhigh,low,5more,4,med,high,good
158,vhigh,high,3,more,med,high,good
158,med,low,5more,4,small,high,acc
158,vhigh,low,5more,4,med,high,acc
158,vhigh,high,3,more,med,high,acc
158,med,low,5more,4,small,high,unacc
158,vhigh,low,5more,4,med,high,unacc
158,vhigh,high,3,more,med,high,unacc
159,vhigh,high,3,more,big,low,unacc
159,med,low,5more,more,big,med,unacc
159,low,vhigh,2,more,med,high,unacc
159,vhigh,high,3,more,big,low,good
159,med,low,5more,more,big,med,good
